UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
Cancun,3,Noun,0,0
exchange,3,Noun,1,1
lead,3,Noun,1,0
situations,3,Noun,1,1
health,3,Noun,1,1
b,3,Noun,1,1
progression,3,Noun,0,0
Global,3,Noun,1,1
subject,3,Noun,0,0
host,3,Noun,1,1
addition,3,Noun,1,1
tools,3,Noun,1,1
website,3,Noun,1,0
challenges,3,Noun,1,1
carbon,3,Noun,1,1
Expert,3,Noun,0,1
views,3,Noun,1,1
New,3,Noun,1,1
environments,3,Noun,1,1
conservation,3,Noun,1,1
Lima,3,Noun,0,0
event,3,Noun,0,1
threat,3,Noun,0,0
annexes,3,Noun,0,0
gender,3,Noun,1,1
warning,2,Noun,1,1
matter,2,Noun,0,1
December,2,Noun,1,1
livelihoods,2,Noun,1,1
area,2,Noun,1,1
ownership,2,Noun,1,1
Decision,2,Noun,1,1
elaboration,2,Noun,0,0
research,2,Noun,1,1
Decisions,2,Noun,1,1
duplication,2,Noun,0,0
onset,2,Noun,0,0
project,2,Noun,1,1
portal,2,Noun,0,0
UNFCCC,2,Noun,0,0
component,2,Noun,1,1
format,2,Noun,0,1
inventory,2,Noun,1,1
peaking,2,Noun,0,0
Agreements,2,Noun,1,1
ability,2,Noun,1,1
units,2,Noun,1,1
value,2,Noun,1,1
Organizing,2,Noun,0,0
potential,2,Noun,1,1
paper,2,Noun,1,1
Actor,2,Noun,0,0
per,2,Noun,0,0
Zone,2,Noun,1,0
platform,2,Noun,1,1
reservoirs,2,Noun,0,1
ceremony,2,Noun,0,0
appointment,2,Noun,0,1
opportunity,2,Noun,1,1
vulnerabilities,2,Noun,0,1
observer,2,Noun,1,0
eradication,2,Noun,0,0
cent,2,Noun,0,0
targets,2,Noun,1,1
costs,2,Noun,1,1
quality,2,Noun,1,1
improvement,2,Noun,1,1
priority,2,Noun,1,1
replenishment,2,Noun,0,0
English,2,Noun,0,0
frequency,2,Noun,1,1
authority,2,Noun,0,1
accuracy,2,Noun,1,1
completeness,2,Noun,0,1
comparability,2,Noun,0,0
Notes,2,Noun,0,1
purposes,2,Noun,1,1
methodology,2,Noun,1,1
d,2,Noun,1,1
party,2,Noun,1,1
measurement,2,Noun,0,1
verification,2,Noun,1,1
system,2,Noun,1,1
application,2,Noun,1,1
compliance,2,Noun,1,1
members,2,Noun,1,1
avoidance,2,Noun,0,0
turn,2,Noun,1,0
pursuit,2,Noun,0,0
humankind,2,Noun,0,0
continuation,2,Noun,0,0
collaboration,2,Noun,1,1
steps,2,Noun,1,1
nature,2,Noun,1,1
attention,2,Noun,1,1
Development,2,Noun,1,1
projects,2,Noun,1,1
Damage,2,Noun,0,1
women,2,Noun,1,1
frames,2,Noun,0,0
Impacts,2,Noun,1,1
society,2,Noun,1,1
frame,2,Noun,1,1
cycle,2,Noun,1,1
stages,2,Noun,1,1
means,2,Noun,0,1
proceedings,2,Noun,0,0
procedure,2,Noun,1,0
Mitigation,2,Noun,1,1
e,2,Noun,1,1
migrants,2,Noun,0,0
cities,2,Noun,1,0
forum,2,Noun,1,1
authorities,2,Noun,1,1
categories,2,Noun,1,1
functioning,2,Noun,0,0
half,2,Noun,1,1
empowerment,2,Noun,0,1
children,2,Noun,1,1
persons,2,Noun,0,0
third,2,Noun,1,0
Risk,2,Noun,1,1
annex,2,Noun,0,0
disabilities,2,Noun,0,0
equality,2,Noun,0,0
vision,2,Noun,1,0
concerns,2,Noun,1,1
USD,2,Noun,0,0
number,2,Noun,1,1
gigatonnes,2,Noun,0,0
principle,2,Noun,0,1
stocks,2,Noun,0,0
Bureau,2,Noun,0,0
establishment,2,Noun,0,0
CP.18,2,Noun,0,0
pathways,2,Noun,0,0
degradation,2,Noun,0,0
variety,2,Noun,1,1
effort,2,Noun,1,1
line,2,Noun,1,1
cost,2,Noun,1,1
delivery,2,Noun,1,1
readiness,2,Noun,0,0
relation,2,Noun,1,1
interventions,2,Noun,1,0
deforestation,2,Noun,0,1
energy,2,Noun,1,1
payments,2,Noun,1,1
legislations,1,Noun,0,0
expiry,1,Noun,0,0
lifestyles,1,Noun,1,1
patterns,1,Noun,1,1
consumption,1,Noun,1,1
amendments,1,Noun,0,0
jobs,1,Noun,1,1
Chinese,1,Noun,0,0
receipt,1,Noun,0,1
deposit,1,Noun,0,0
definitions,1,Noun,1,1
settlement,1,Noun,1,1
conditions,1,Noun,1,1
responses,1,Noun,1,0
amount,1,Noun,1,1
modification,1,Noun,1,0
exercise,1,Noun,0,1
risks,1,Noun,1,1
relationship,1,Noun,1,0
cases,1,Noun,1,1
creation,1,Noun,1,0
pathway,1,Noun,0,0
funding,1,Noun,1,0
original,1,Noun,0,0
disputes,1,Noun,1,0
oceans,1,Noun,1,1
security,1,Noun,1,1
material,1,Noun,1,1
Earth,1,Noun,1,1
lists,1,Noun,0,0
concept,1,Noun,1,1
forms,1,Noun,1,1
justice,1,Noun,0,1
Regional,1,Noun,0,0
cultures,1,Noun,1,1
engagements,1,Noun,1,1
transition,1,Noun,1,1
government,1,Noun,1,1
actors,1,Noun,0,1
Annexes,1,Noun,0,0
Mother,1,Noun,0,0
Arabic,1,Noun,0,0
biodiversity,1,Noun,1,1
vote,1,Noun,0,0
amendment,1,Noun,0,0
imperatives,1,Noun,0,0
protection,1,Noun,1,1
votes,1,Noun,0,0
reservations,1,Noun,0,0
hunger,1,Noun,0,0
character,1,Noun,0,0
workforce,1,Noun,1,1
losses,1,Noun,0,1
object,1,Noun,0,1
performance,1,Noun,1,1
approach,1,Noun,1,1
durability,1,Noun,0,0
making,1,Noun,1,0
services,1,Noun,1,1
Russian,1,Noun,0,0
observation,1,Noun,1,0
innovation,1,Noun,1,1
growth,1,Noun,1,1
places,1,Noun,1,1
dimensions,1,Noun,0,0
challenge,1,Noun,1,1
aspects,1,Noun,1,1
WITNESS,1,Noun,0,0
capacitybuilding,1,Noun,0,0
trust,1,Noun,1,1
undertakings,1,Noun,0,0
Monitoring,1,Noun,1,1
sovereignty,1,Noun,0,0
Emergency,1,Noun,1,1
SecretaryGeneral,1,Noun,0,0
Resilience,1,Noun,1,1
facilities,1,Noun,1,1
Comprehensive,1,Noun,1,0
Events,1,Noun,1,1
preparedness,1,Noun,0,1
facilitation,1,Noun,1,0
documents,1,Noun,0,1
funds,1,Noun,1,1
constraints,1,Noun,1,1
grant,1,Noun,1,0
texts,1,Noun,0,0
weather,1,Noun,1,1
Spanish,1,Noun,0,0
plan,1,Noun,1,1
confidence,1,Noun,0,0
analysis,1,Noun,1,1
century,1,Noun,1,0
limitation,1,Noun,1,0
Distr,1,Noun,0,0
economies,1,Noun,1,1
solutions,1,Noun,1,1
admission,1,Noun,0,0
methods,1,Noun,1,0
Sessions,1,Noun,0,1
bureaux,1,Noun,0,0
agency,1,Noun,1,1
economy,1,Noun,1,1
Headquarters,1,Noun,0,0
Instruments,1,Noun,0,0
French,1,Noun,0,0
case,1,Noun,1,1
objectives,1,Noun,1,1
wish,1,Noun,0,0
Agency,1,Noun,1,1
tracking,1,Noun,1,0
governance,1,Noun,1,1
overview,1,Noun,1,1
expenses,1,Noun,1,1
proceeds,1,Noun,1,1
share,1,Noun,1,1
Emission,1,Noun,1,1
practice,1,Noun,1,1
taking,1,Noun,0,1
Energy,1,Noun,1,1
goals,1,Noun,1,1
function,1,Noun,0,0
Exercise,1,Noun,0,1
consensus,1,Noun,0,0
times,1,Noun,1,1
signatories,1,Noun,0,0
Atomic,1,Noun,0,0
channels,1,Noun,1,1
requirements,1,Noun,1,1
principles,1,Noun,1,1
centres,1,Noun,1,0
clearing,1,Noun,0,0
Transforming,1,Noun,0,0
world,1,Noun,1,1
Sustainable,1,Noun,1,0
formulation,1,Noun,0,1
Addis,1,Noun,0,0
limit,1,Noun,1,1
networks,1,Noun,1,0
proofing,1,Noun,0,0
repository,1,Noun,0,0
Ababa,1,Noun,0,0
Financing,1,Noun,0,0
Sendai,1,Noun,0,0
Disaster,1,Noun,1,1
synergy,1,Noun,0,0
linkages,1,Noun,0,0
Reduction,1,Noun,1,1
mechanisms,1,Noun,1,1
house,1,Noun,1,1
RES,1,Noun,0,0
certification,1,Noun,1,1
Special,1,Noun,0,0
INF.3,1,Noun,0,0
SB,1,Noun,0,0
Page,1,Noun,1,1
operations,1,Noun,1,1
transmission,1,Noun,1,0
criteria,1,Noun,1,1
eligibility,1,Noun,0,0
issue,1,Noun,1,1
floor,1,Noun,0,1
task,1,Noun,0,0
regulations,1,Noun,1,1
Assembly,1,Noun,0,0
compensation,1,Noun,0,1
liability,1,Noun,0,0
thereon,1,Noun,0,0
resolution,1,Noun,1,1
displacement,1,Noun,1,0
A,1,Noun,1,1
Experience,1,Noun,1,1
Verification,1,Noun,1,1
findings,1,Noun,1,1
post,1,Noun,0,0
gap,1,Noun,0,0
warming,1,Noun,1,1
notes,1,Noun,0,1
scenarios,1,Noun,1,1
2015/7,1,Noun,0,0
October,1,Noun,1,1
position,1,Noun,1,1
foundation,1,Noun,1,1
call,1,Noun,0,0
CP.7,1,Noun,0,0
Africa,1,Noun,1,1
invitation,1,Noun,0,1
I,1,Noun,0,0
convening,1,Noun,0,0
officers,1,Noun,1,1
election,1,Noun,0,0
arrangement,1,Noun,0,0
America,1,Noun,1,1
CP.10,1,Noun,0,0
features,1,Noun,0,1
Reductions,1,Noun,1,1
activity,1,Noun,1,1
societies,1,Noun,1,1
scopes,1,Noun,0,0
planet,1,Noun,0,0
Real,1,Noun,0,0
Voluntary,1,Noun,1,1
adjustment,1,Noun,0,0
mid-century,1,Noun,0,0
explanation,1,Noun,1,1
sink,1,Noun,0,0
point,1,Noun,1,1
source,1,Noun,1,1
baselines,1,Noun,0,0
metrics,1,Noun,1,1
recording,1,Noun,0,0
assumptions,1,Noun,1,0
coverage,1,Noun,1,1
periods,1,Noun,0,1
base,1,Noun,1,1
demonstration,1,Noun,1,0
undertaking,1,Noun,1,1
Pursuant,1,Noun,0,0
updates,1,Noun,0,1
September,1,Noun,1,0
summit,1,Noun,0,0
appreciation,1,Noun,0,0
map,1,Noun,1,1
road,1,Noun,1,1
place,1,Noun,1,1
participants,1,Noun,0,1
proposals,1,Noun,0,0
mandates,1,Noun,0,0
catalyse,1,Noun,0,0
experts,1,Noun,1,1
suggestions,1,Noun,0,0
January,1,Noun,0,1
commitment,1,Noun,1,1
cancellation,1,Noun,1,0
CP.13,1,Noun,0,0
resolve,1,Noun,0,0
pledge,1,Noun,0,0
registration,1,Noun,0,0
dignitaries,1,Noun,0,0
Doha,1,Noun,0,0
V,1,Noun,0,1
hereinafter,1,Noun,0,0
Annex,1,Noun,0,0
availability,1,Noun,1,1
implications,1,Noun,0,0
VI,1,Noun,0,1
pricing,1,Noun,1,1
platform4,1,Noun,0,0
decrease,1,Noun,1,1
February,1,Noun,1,1
behalf,1,Noun,1,1
user,1,Noun,0,0
outputs,1,Noun,0,1
continuity,1,Noun,0,1
Presidents,1,Noun,0,0
introduction,1,Noun,1,1
up,1,Noun,1,1
scaling,1,Noun,0,0
execution,1,Noun,0,0
Amendment,1,Noun,0,0
IV,1,Noun,0,0
updating,1,Noun,0,0
web,1,Noun,0,1
Forum,1,Noun,1,1
compilation,1,Noun,0,0
inputs,1,Noun,0,0
March,1,Noun,1,1
membership,1,Noun,1,0
successes,1,Noun,1,0
Addendum,1,Noun,0,0
theme,1,Noun,0,0
maintenance,1,Noun,1,1
extension,1,Noun,0,0
Part,1,Noun,1,1
Contents,1,Noun,1,1
space,1,Noun,0,0
synergies,1,Noun,0,0
GE.16,1,Noun,0,0
barriers,1,Noun,1,1
E,1,Noun,1,1
ideas,1,Noun,1,1
Report,1,Noun,1,1
Calls,1,Noun,0,0
total,1,Noun,1,1
issues,1,Noun,1,1
clauses,1,Noun,1,1
Original,1,Noun,0,0
representation,1,Noun,1,1
fields,1,Noun,1,1
advice,1,Noun,1,0
Reports,1,Noun,1,1
state,1,Noun,1,1
submission,1,Noun,1,0
formats,1,Noun,0,1
initiative,1,Noun,1,1
types,1,Noun,1,1
intervals,1,Noun,0,0
discretion,1,Noun,0,0
flexibilities,1,Noun,0,0
reviews,1,Noun,1,1
detail,1,Noun,1,0
design,1,Noun,1,1
entity,1,Noun,0,1
cycles,1,Noun,0,0
WHEREOF,1,Noun,0,0
of the,455,2-gram,1,1
the parties,201,2-gram,0,0
to the,126,2-gram,1,1
this agreement,119,2-gram,0,0
conference of,118,2-gram,0,0
parties to,118,2-gram,1,0
the conference,117,2-gram,0,0
referred to,97,2-gram,1,0
to in,93,2-gram,1,1
as the,84,2-gram,1,1
the convention,78,2-gram,0,0
in the,76,2-gram,1,1
the meeting,74,2-gram,1,0
meeting of,74,2-gram,1,0
on the,71,2-gram,1,1
parties serving,71,2-gram,0,0
serving as,71,2-gram,0,0
country parties,68,2-gram,0,0
the agreement,67,2-gram,1,1
in paragraph,66,2-gram,0,0
by the,65,2-gram,1,1
the paris,65,2-gram,1,1
implementation of,64,2-gram,1,1
to this,61,2-gram,0,1
nationally determined,60,2-gram,1,0
of this,59,2-gram,1,1
paris agreement,57,2-gram,1,1
for the,55,2-gram,1,1
developing country,54,2-gram,0,0
the implementation,52,2-gram,1,0
climate change,51,2-gram,1,1
and the,49,2-gram,1,1
paragraph of,49,2-gram,0,0
capacity building,46,2-gram,0,0
under the,45,2-gram,1,1
requests the,43,2-gram,0,0
at its,42,2-gram,1,1
shall be,41,2-gram,0,1
determined contributions,38,2-gram,0,0
fccc cp,37,2-gram,0,0
paragraph above,37,2-gram,0,0
cp add,36,2-gram,0,0
first session,36,2-gram,0,0
this article,36,2-gram,0,0
the subsidiary,35,2-gram,0,0
that the,34,2-gram,1,1
with the,34,2-gram,1,1
in accordance,32,2-gram,1,1
accordance with,32,2-gram,1,1
agreement shall,32,2-gram,0,0
in article,31,2-gram,0,0
decides that,29,2-gram,0,0
its first,29,2-gram,1,0
the secretariat,29,2-gram,0,0
article paragraph,28,2-gram,0,0
subsidiary body,28,2-gram,0,0
body for,28,2-gram,0,0
into account,28,2-gram,1,1
with a,27,2-gram,1,1
as appropriate,26,2-gram,1,0
the global,24,2-gram,1,1
and to,24,2-gram,1,1
for consideration,24,2-gram,0,0
decision cp,23,2-gram,0,0
a view,23,2-gram,0,0
view to,23,2-gram,0,0
agreement at,23,2-gram,0,1
development and,22,2-gram,1,1
agreement and,22,2-gram,0,0
taking into,22,2-gram,1,1
the ad,21,2-gram,0,0
ad hoc,21,2-gram,0,0
hoc working,21,2-gram,0,0
working group,21,2-gram,0,0
group on,21,2-gram,0,0
consideration and,21,2-gram,0,0
and adoption,21,2-gram,0,1
in a,20,2-gram,1,1
determined contribution,20,2-gram,1,0
of climate,20,2-gram,1,1
greenhouse gas,19,2-gram,1,1
parties should,19,2-gram,0,0
to be,19,2-gram,1,1
of their,19,2-gram,1,1
article of,18,2-gram,0,0
the modalities,18,2-gram,0,0
procedures and,18,2-gram,1,1
from the,17,2-gram,1,1
parties in,17,2-gram,1,0
parties shall,17,2-gram,0,0
adoption by,17,2-gram,0,0
to enhance,16,2-gram,1,1
enhance the,16,2-gram,1,0
all parties,16,2-gram,1,0
decides to,16,2-gram,0,0
session of,16,2-gram,0,0
information on,16,2-gram,1,1
that are,16,2-gram,1,1
the least,16,2-gram,1,1
the importance,16,2-gram,0,1
in order,15,2-gram,1,1
order to,15,2-gram,1,1
as well,15,2-gram,1,1
well as,15,2-gram,1,1
developed country,15,2-gram,0,0
to provide,15,2-gram,1,1
also decides,15,2-gram,0,0
agreement to,15,2-gram,1,0
for scientific,15,2-gram,1,0
scientific and,15,2-gram,0,0
and technological,15,2-gram,0,1
technological advice,15,2-gram,0,0
sustainable development,15,2-gram,1,1
account the,15,2-gram,1,0
least developed,15,2-gram,0,0
importance of,15,2-gram,0,1
modalities procedures,15,2-gram,0,0
and guidelines,15,2-gram,1,1
and actions,15,2-gram,1,1
united nations,14,2-gram,1,1
of developing,14,2-gram,0,0
parties and,14,2-gram,1,0
the provisions,14,2-gram,0,0
to develop,14,2-gram,1,1
for implementation,14,2-gram,0,0
developed countries,14,2-gram,0,1
and support,14,2-gram,1,1
the technology,14,2-gram,1,1
on capacity,14,2-gram,0,0
under this,14,2-gram,0,0
the need,13,2-gram,1,1
in this,13,2-gram,1,1
and adaptation,13,2-gram,0,0
intended nationally,13,2-gram,1,0
by parties,13,2-gram,0,0
support for,13,2-gram,0,1
the adaptation,13,2-gram,0,0
committee on,13,2-gram,0,0
to support,13,2-gram,1,1
global stocktake,13,2-gram,0,0
practices and,13,2-gram,1,1
gas emissions,12,2-gram,1,1
mitigation and,12,2-gram,1,1
non party,12,2-gram,0,0
provisions of,12,2-gram,0,0
subsidiary bodies,12,2-gram,0,0
agreement for,12,2-gram,0,1
parties that,12,2-gram,0,0
the financial,12,2-gram,1,1
a party,12,2-gram,0,0
the light,12,2-gram,0,0
light of,12,2-gram,1,1
to ensure,12,2-gram,1,0
each party,12,2-gram,0,0
the context,12,2-gram,0,1
context of,12,2-gram,0,1
the adverse,12,2-gram,0,0
article the,12,2-gram,0,0
regional economic,12,2-gram,1,0
economic integration,12,2-gram,0,0
articles and,11,2-gram,0,0
need to,11,2-gram,1,1
in developing,11,2-gram,1,1
party stakeholders,11,2-gram,0,0
financial mechanism,11,2-gram,0,0
of parties,11,2-gram,1,0
also requests,11,2-gram,0,0
their nationally,11,2-gram,0,0
paragraphs and,11,2-gram,0,0
the process,11,2-gram,1,1
party to,11,2-gram,0,0
and of,10,2-gram,1,1
and in,10,2-gram,1,1
and its,10,2-gram,1,1
the united,10,2-gram,1,1
set out,10,2-gram,1,1
out in,10,2-gram,1,1
pursuant to,10,2-gram,0,0
efforts of,10,2-gram,0,0
be provided,10,2-gram,0,0
with article,10,2-gram,0,0
established under,10,2-gram,0,0
effects of,10,2-gram,1,1
related to,10,2-gram,1,1
of adaptation,10,2-gram,0,0
above and,10,2-gram,0,0
and transfer,10,2-gram,0,0
the capacity,10,2-gram,0,0
the date,10,2-gram,1,0
to climate,10,2-gram,1,1
convention shall,10,2-gram,0,0
article shall,10,2-gram,0,0
its twenty,9,2-gram,0,0
adoption of,9,2-gram,1,1
countries and,9,2-gram,1,1
convention and,9,2-gram,0,0
of greenhouse,9,2-gram,0,1
recognizing the,9,2-gram,0,0
the provision,9,2-gram,0,1
provision of,9,2-gram,1,1
access to,9,2-gram,1,1
convention on,9,2-gram,0,1
on climate,9,2-gram,1,1
high level,9,2-gram,1,1
of its,9,2-gram,1,1
sessions of,9,2-gram,0,0
long term,9,2-gram,1,1
including through,9,2-gram,0,1
shall apply,9,2-gram,0,0
guidance to,9,2-gram,0,1
shall serve,9,2-gram,0,0
under article,9,2-gram,0,0
