,keyword,Relative_Frequency.21,Relative_Frequency
0,access,0.0009980039920159,0.0010181818181818
1,accordance,0.0009980039920159,0.0068363636363636
2,achievement,0.0009980039920159,0.0027636363636363
3,activity,0.0009980039920159,0.0088727272727272
4,addition,0.0029940119760479,0.0010181818181818
5,annual,0.0019960079840319,0.0008727272727272
6,areas,0.0009980039920159,0.0007272727272727
7,assessment,0.0009980039920159,0.0011636363636363
8,authority,0.0009980039920159,0.000290909090909
9,benefits,0.0009980039920159,0.000290909090909
10,building,0.0019960079840319,0.0001454545454545
11,business,0.0009980039920159,0.0004363636363636
12,capabilities,0.0009980039920159,0.000290909090909
13,capacity,0.0109780439121756,0.0007272727272727
14,categories,0.0019960079840319,0.000290909090909
15,cdm,0.0009980039920159,0.001890909090909
16,challenges,0.0009980039920159,0.0001454545454545
17,change,0.0009980039920159,0.008290909090909
18,clean,0.0029940119760479,0.0004363636363636
19,community,0.0009980039920159,0.0001454545454545
20,completion,0.0019960079840319,0.0001454545454545
21,compliance,0.0019960079840319,0.0001454545454545
22,conditions,0.0009980039920159,0.0004363636363636
23,consideration,0.0009980039920159,0.0042181818181818
24,contribution,0.0019960079840319,0.0014545454545454
25,conversion,0.0009980039920159,0.0004363636363636
26,country,0.0009980039920159,0.0059636363636363
27,culture,0.0009980039920159,0.0001454545454545
28,date,0.0009980039920159,0.0004363636363636
29,demand,0.0019960079840319,0.0001454545454545
30,development,0.0039920159680638,0.0104727272727272
31,economy,0.0019960079840319,0.0001454545454545
32,efficiency,0.0009980039920159,0.0001454545454545
33,efforts,0.0019960079840319,0.001890909090909
34,emissions,0.0049900199600798,0.008
35,energy,0.0069860279441117,0.0004363636363636
36,ensure,0.0009980039920159,0.000290909090909
37,environment,0.0019960079840319,0.0004363636363636
38,facility,0.0009980039920159,0.0004363636363636
39,following,0.0019960079840319,0.000290909090909
40,fuel,0.0039920159680638,0.0001454545454545
41,gas,0.0249500998003992,0.0017454545454545
42,ghg,0.0029940119760479,0.0010181818181818
43,global,0.0019960079840319,0.0005818181818181
44,goal,0.0009980039920159,0.0021818181818181
45,group,0.0009980039920159,0.0008727272727272
46,guidelines,0.0009980039920159,0.0008727272727272
47,health,0.0009980039920159,0.0011636363636363
48,impact,0.0019960079840319,0.0001454545454545
49,impacts,0.0009980039920159,0.0029090909090909
50,implementation,0.0029940119760479,0.0125090909090909
51,increase,0.0019960079840319,0.0017454545454545
52,initiatives,0.0019960079840319,0.0005818181818181
53,innovation,0.0069860279441117,0.0001454545454545
54,island,0.0009980039920159,0.000290909090909
55,law,0.0009980039920159,0.0001454545454545
56,level,0.0029940119760479,0.0021818181818181
57,line,0.0019960079840319,0.0008727272727272
58,management,0.0029940119760479,0.0001454545454545
59,manner,0.0009980039920159,0.0023272727272727
60,march,0.0009980039920159,0.0004363636363636
61,matter,0.0009980039920159,0.000290909090909
62,mechanism,0.0009980039920159,0.0126545454545454
