,keyword,Relative_Frequency.23,Relative_Frequency
0,access,0.0002738725579696,0.0018390804597701
1,accordance,0.0008672631002373,0.0082758620689655
2,account,0.0004108088369545,0.0032183908045977
3,accounting,9.129085265656382e-05,0.0022988505747126
4,achievement,4.564542632828191e-05,0.0002298850574712
5,act,0.0001369362789848,0.0004597701149425
6,action,0.000821617673909,0.0034482758620689
7,actions,0.0004564542632828,0.0059770114942528
8,activities,0.0042906700748584,0.0032183908045977
9,activity,0.0003195179842979,0.0006896551724137
10,addendum,4.564542632828191e-05,0.0002298850574712
11,address,0.0002282271316414,0.0006896551724137
12,adoption,0.0002738725579696,0.0013793103448275
13,adopts,4.564542632828191e-05,0.0004597701149425
14,advance,9.129085265656382e-05,0.0002298850574712
15,advice,4.564542632828191e-05,0.0011494252873563
16,agencies,0.0002738725579696,0.000919540229885
17,agreement,0.0013237173635201,0.0411494252873563
18,ambition,4.564542632828191e-05,0.0002298850574712
19,amount,0.0006390359685959,0.0002298850574712
20,analysis,0.0006846813949242,0.0002298850574712
21,annex,0.0009585539528939,0.0029885057471264
22,application,0.0001369362789848,0.000919540229885
23,approach,0.0009585539528939,0.0016091954022988
24,approaches,0.0004108088369545,0.0018390804597701
25,approval,0.0006390359685959,0.0002298850574712
26,april,0.0004108088369545,0.0006896551724137
27,areas,0.0026474347270403,0.0006896551724137
28,arrangements,4.564542632828191e-05,0.0016091954022988
29,articles,4.564542632828191e-05,0.0011494252873563
30,assessment,0.0007303268212525,0.0004597701149425
31,assistance,0.0003195179842979,0.0013793103448275
32,availability,0.0001369362789848,0.0016091954022988
33,awareness,0.0006390359685959,0.0004597701149425
34,balance,4.564542632828191e-05,0.0011494252873563
35,basis,0.0007759722475807,0.0027586206896551
36,beginning,4.564542632828191e-05,0.0002298850574712
37,bodies,0.0005933905422676,0.0050574712643678
38,body,0.0001825817053131,0.0027586206896551
39,building,0.0006390359685959,0.0002298850574712
40,capabilities,0.0006390359685959,0.0002298850574712
41,capacity,0.0005477451159393,0.0020689655172413
42,case,0.0002282271316414,0.0006896551724137
43,categories,0.0003651634106262,0.0016091954022988
44,challenges,0.0003195179842979,0.0004597701149425
45,change,0.0004108088369545,0.0041379310344827
46,changes,0.0006390359685959,0.000919540229885
47,channels,0.0001369362789848,0.0004597701149425
48,check,9.129085265656382e-05,0.0002298850574712
49,choice,4.564542632828191e-05,0.0002298850574712
