,keyword,Relative_Frequency.26,Relative_Frequency
0,ability,6.145148405333988e-05,0.0002298850574712
1,academia,3.072574202666994e-05,0.0002298850574712
2,acceptance,0.00018435445216,0.0002298850574712
3,access,0.00055306335648,0.0018390804597701
4,accessibility,6.145148405333988e-05,0.0002298850574712
5,accordance,0.0011368524549867,0.0082758620689655
6,account,0.0004301603883733,0.0032183908045977
7,accounting,0.0001536287101333,0.0022988505747126
8,accuracy,6.145148405333988e-05,0.0004597701149425
9,achievement,0.00018435445216,0.0002298850574712
10,action,0.0002458059362133,0.0034482758620689
11,actions,0.0004301603883733,0.0059770114942528
12,activities,0.003625637559147,0.0032183908045977
13,activity,0.0001536287101333,0.0006896551724137
14,acts,3.072574202666994e-05,0.0002298850574712
15,adaptation,0.00018435445216,0.0328735632183908
16,address,6.145148405333988e-05,0.0006896551724137
17,adoption,0.0002458059362133,0.0013793103448275
18,adopts,3.072574202666994e-05,0.0004597701149425
19,advice,6.145148405333988e-05,0.0011494252873563
20,agencies,0.0001536287101333,0.000919540229885
21,agreement,0.0007066920666134,0.0411494252873563
22,amount,0.0004608861304,0.0002298850574712
23,analysis,0.00027653167824,0.0002298850574712
24,applicable,3.072574202666994e-05,0.0002298850574712
25,application,0.0003379831622933,0.000919540229885
26,appointments,6.145148405333988e-05,0.0004597701149425
27,approach,0.00055306335648,0.0016091954022988
28,approaches,0.0002458059362133,0.0018390804597701
29,approval,0.00018435445216,0.0002298850574712
30,april,0.0004608861304,0.0006896551724137
31,areas,0.0021508019418668,0.0006896551724137
32,arrangements,0.0003994346463467,0.0016091954022988
33,article,3.072574202666994e-05,0.0266666666666666
34,aspects,0.00027653167824,0.0002298850574712
35,assessment,0.0006759663245867,0.0004597701149425
36,assistance,0.0004301603883733,0.0013793103448275
37,attendance,3.072574202666994e-05,0.0002298850574712
38,availability,0.0001536287101333,0.0016091954022988
39,avoidance,3.072574202666994e-05,0.0004597701149425
40,awareness,9.217722608000984e-05,0.0004597701149425
41,balance,0.0039328949794137,0.0011494252873563
42,baseline,0.00018435445216,0.0002298850574712
43,basis,0.0012597554230934,0.0027586206896551
44,bodies,0.0009832237448534,0.0050574712643678
45,body,0.0003072574202666,0.0027586206896551
46,building,0.0003072574202666,0.0002298850574712
47,burden,3.072574202666994e-05,0.0004597701149425
48,capabilities,0.0001229029681066,0.0002298850574712
49,capability,6.145148405333988e-05,0.0004597701149425
50,capacities,0.00018435445216,0.0006896551724137
51,capacity,0.0014748356172801,0.0020689655172413
52,capacity-building,3.072574202666994e-05,0.0013793103448275
53,case,0.0002150801941866,0.0006896551724137
54,categories,0.0003072574202666,0.0016091954022988
55,challenges,0.0001229029681066,0.0004597701149425
56,change,0.0003072574202666,0.0041379310344827
57,changes,0.00064524058256,0.000919540229885
58,channels,0.0001229029681066,0.0004597701149425
59,chapter,6.145148405333988e-05,0.0002298850574712
60,check,9.217722608000984e-05,0.0002298850574712
61,clarity,3.072574202666994e-05,0.0020689655172413
62,climate,0.0009524980028267,0.0071264367816091
63,collaboration,0.0004916118724267,0.0018390804597701
64,committee,0.0017206415534935,0.008735632183908
65,common,3.072574202666994e-05,0.0004597701149425
66,communicate,3.072574202666994e-05,0.0002298850574712
67,communication,0.00027653167824,0.0082758620689655
68,communications,0.0005837890985067,0.0073563218390804
69,communities,0.0011061267129601,0.0002298850574712
70,comparability,3.072574202666994e-05,0.0002298850574712
71,comparison,9.217722608000984e-05,0.0002298850574712
72,completeness,9.217722608000984e-05,0.0002298850574712
73,compliance,0.0015362871013334,0.0002298850574712
74,component,3.072574202666994e-05,0.0016091954022988
75,components,0.0002458059362133,0.000919540229885
76,concern,0.0001229029681066,0.0002298850574712
77,concerns,3.072574202666994e-05,0.0002298850574712
78,concrete,3.072574202666994e-05,0.0002298850574712
79,conference,0.0001536287101333,0.012183908045977
80,consequences,6.145148405333988e-05,0.0002298850574712
81,consideration,0.00018435445216,0.0055172413793103
82,consistency,9.217722608000984e-05,0.0013793103448275
83,construction,0.0028882197505069,0.0002298850574712
84,contact,6.145148405333988e-05,0.0002298850574712
85,contacts,0.0001229029681066,0.0002298850574712
86,contain,3.072574202666994e-05,0.0002298850574712
87,content,0.0002150801941866,0.000919540229885
88,contents,0.0001229029681066,0.0002298850574712
89,context,9.217722608000984e-05,0.0004597701149425
90,contribute,6.145148405333988e-05,0.0002298850574712
91,contribution,0.0048546672402138,0.0073563218390804
92,contributions,6.145148405333988e-05,0.0114942528735632
93,convention,6.145148405333988e-05,0.0036781609195402
94,cooperation,0.0004916118724267,0.0006896551724137
95,countries,0.0027960425244269,0.0064367816091954
96,country,0.0005223376144533,0.0094252873563218
97,coverage,0.0001229029681066,0.0006896551724137
98,creation,9.217722608000984e-05,0.0002298850574712
99,criteria,0.00018435445216,0.0002298850574712
100,data,0.00073741780864,0.0011494252873563
