Company,Year,Overlap-coefficient,Cos-similarity
BP,2011,18.776648081338145,0.7195966340105262
BP,2012,18.465070514922928,0.6524772603850909
BP,2013,17.64512955067235,0.6347782980096788
BP,2014,18.153492948507708,0.5994907602964215
BP,2015,18.84224335847819,0.613379271921181
Exxon,2011,18.678255165628073,0.7104593204887113
Exxon,2012,20.531321744834372,0.6666656734089119
Exxon,2013,19.64578550344375,0.6404807745326827
Exxon,2014,20.662512299114464,0.6505155063129585
Exxon,2015,24.1390619875369,0.6146261544084807
Chev,2011,12.20072154804854,0.673373328849475
Chev,2012,12.151525090193505,0.703288320930202
Chev,2013,7.658248606100361,0.5669548850138297
Chev,2014,8.281403738930797,0.6404431256590096
Chev,2015,10.446047884552312,0.6735458314538262
Total,2011,13.64381764512955,0.6836097847721098
Total,2012,11.151197113807806,0.6172370471871141
Total,2013,14.234175139389965,0.6616413907367882
Total,2014,9.527714004591669,0.5919820991186946
Shell,2011,14.545752705805182,0.6972806978292375
Shell,2012,16.185634634306332,0.7151757381979009
Shell,2013,16.562807477861593,0.6648968569293731
Shell,2014,19.235815021318466,0.612872247332914
Shell,2015,19.924565431288947,0.6586723437733149
Equi,2011,23.679895047556577,0.6788797788123242
Equi,2012,18.62905870777304,0.6497910097474282
Equi,2013,14.316169235815021,0.596968046801878
Equi,2014,14.381764512955067,0.5926613634088638
Equi,2015,14.840931452935388,0.5994793163912735
Rosn,2011,16.136438176451296,0.7504169692379365
Rosn,2012,16.136438176451296,0.7504169692379365
Rosn,2013,18.333879960642836,0.7154936324797214
Rosn,2014,20.006559527714003,0.7050994733143898
Rosn,2015,20.104952443424075,0.6712619973775525
Gazp,2011,18.49786815349295,0.6100931352475673
Gazp,2013,18.219088225647752,0.749862521801705
Gazp,2015,18.038701213512628,0.7869493526840411
Pb,2011,21.72843555264021,0.6646439617261236
Pb,2012,20.760905214824533,0.6009712744334491
Pb,2013,14.578550344375204,0.6444106016332465
Pb,2014,14.988520826500492,0.7587442196227733
Pb,2015,17.464742538537227,0.7656472641015437
Kuwa,2013,13.135454247294195,0.779403246684403
Kuwa,2015,9.872089209576911,0.7608603659600495
Qata,2011,19.580190226303706,0.6070748501956374
Qata,2012,20.25254181698918,0.626723185263002
Qata,2013,19.793374877008855,0.6783214475387725
Qata,2014,13.283043620859297,0.7069801627792731
Qata,2015,12.594293210888816,0.7011214540860111
Pch,2014,14.824532633650378,0.7179624943914018
Pch,2015,17.36634962282716,0.7404960155918241
Indi,2011,10.249262053132174,0.7250599215175282
Indi,2013,13.938996392259757,0.6391219855667999
Indi,2014,12.577894391603806,0.6964912911602028
Indi,2015,11.561167595933092,0.6694916773808978
Pn,2011,9.740898655296819,0.6542459312061776
Pn,2012,8.133814365365694,0.5215766537457512
Pn,2013,9.954083306001968,0.42384217791240036
Pn,2014,14.152181042964907,0.5302365716461129
Pn,2015,14.545752705805182,0.5530601739520302
